,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params
0,0.17291959107535504,0.21483376936650744,0.08481500192473257,0.19049510130764113,0.19230688167275645,0.17107512005003978,0.04512463025228251,13,12.480099248886109,4.196355205713886,0.23581905364990235,0.05007450308271968,mse,5,68,43,90,815,"OrderedDict([('criterion', 'mse'), ('max_depth', 5), ('max_features', 68), ('min_samples_leaf', 43), ('min_samples_split', 90), ('n_estimators', 815)])"
1,0.06687402471216741,0.10386278139460936,0.042921014234641786,0.004744620412197698,0.06980151230594867,0.057646048717892626,0.0328068932431176,44,50.511972951889035,16.55410002286087,0.15337448120117186,0.025809566490450818,mae,14,137,57,83,122,"OrderedDict([('criterion', 'mae'), ('max_depth', 14), ('max_features', 137), ('min_samples_leaf', 57), ('min_samples_split', 83), ('n_estimators', 122)])"
2,0.038736755257507305,0.07385242144260118,0.02257368150605865,-0.01757795572516807,0.03533579468783865,0.03058878215348493,0.029470857638368073,47,64.3885087966919,20.958238299448382,0.2870315074920654,0.07020557489432074,mae,8,40,81,95,595,"OrderedDict([('criterion', 'mae'), ('max_depth', 8), ('max_features', 40), ('min_samples_leaf', 81), ('min_samples_split', 95), ('n_estimators', 595)])"
3,0.05030772017137197,0.08506498521637307,0.031280734266185606,-0.004269162074584054,0.053691773527547615,0.04321924923615675,0.029347410596257686,46,139.22912721633912,45.20016995382014,0.19130849838256836,0.06752005835116502,mae,4,142,77,69,381,"OrderedDict([('criterion', 'mae'), ('max_depth', 4), ('max_features', 142), ('min_samples_leaf', 77), ('min_samples_split', 69), ('n_estimators', 381)])"
4,0.08690074153993455,0.13165629653648947,0.05301573760487632,0.027776618681849108,0.09365558448521139,0.07860572227637505,0.03562217016297727,41,264.84581022262574,83.85161314481692,0.2277360439300537,0.06258440345901074,mae,9,151,38,88,505,"OrderedDict([('criterion', 'mae'), ('max_depth', 9), ('max_features', 151), ('min_samples_leaf', 38), ('min_samples_split', 88), ('n_estimators', 505)])"
5,0.09797936874225754,0.16292735572295858,0.06286383604779533,0.038801387244345564,0.12020239500655261,0.09655567977156863,0.04343207020679755,36,427.98499155044556,137.290716400617,0.26659355163574217,0.09572513674411057,mae,7,127,23,92,875,"OrderedDict([('criterion', 'mae'), ('max_depth', 7), ('max_features', 127), ('min_samples_leaf', 23), ('min_samples_split', 92), ('n_estimators', 875)])"
6,0.03359723825755567,0.07028868502882235,0.02280892666527745,-0.017211080470822093,0.03702244116197917,0.029303688595606357,0.02814741422319746,48,78.66243762969971,27.64538032407656,0.14693846702575683,0.023159693876892432,mae,2,210,84,32,187,"OrderedDict([('criterion', 'mae'), ('max_depth', 2), ('max_features', 210), ('min_samples_leaf', 84), ('min_samples_split', 32), ('n_estimators', 187)])"
7,0.09833226464311218,0.14597304137349643,0.08272287895655328,0.09027432144394543,0.13401404199659328,0.11025651523795674,0.02505308029776874,34,0.54228515625,0.0936995418447644,0.10573091506958007,0.004277623329066794,mse,10,5,78,75,143,"OrderedDict([('criterion', 'mse'), ('max_depth', 10), ('max_features', 5), ('min_samples_leaf', 78), ('min_samples_split', 75), ('n_estimators', 143)])"
8,0.1733218275833852,0.2249791851582753,0.06055483468824763,0.21245056946179453,0.23323243275256167,0.18090344991612767,0.06357064434897242,8,1.9465660095214843,0.5970580280431091,0.10272879600524902,0.000638376230978313,mse,3,17,8,33,360,"OrderedDict([('criterion', 'mse'), ('max_depth', 3), ('max_features', 17), ('min_samples_leaf', 8), ('min_samples_split', 33), ('n_estimators', 360)])"
9,0.1570272936837489,0.15810537390885304,0.060577889459412226,0.1326505403795748,0.17711955390083856,0.13710748058733815,0.040771837302281996,24,26.825691413879394,9.671467598798756,0.30460338592529296,0.08161407164615875,mse,11,211,84,60,509,"OrderedDict([('criterion', 'mse'), ('max_depth', 11), ('max_features', 211), ('min_samples_leaf', 84), ('min_samples_split', 60), ('n_estimators', 509)])"
10,0.14771354257344227,0.15974771127904064,0.03527892193130555,0.20501529380436978,0.2032420432588854,0.15019808687465025,0.061824749229860664,19,13.27177038192749,4.518856033459769,0.3264003276824951,0.031194406859319745,mse,3,70,1,88,823,"OrderedDict([('criterion', 'mse'), ('max_depth', 3), ('max_features', 70), ('min_samples_leaf', 1), ('min_samples_split', 88), ('n_estimators', 823)])"
11,0.15912649413036895,0.10305843746754573,0.011025250562258782,0.22787975197897659,0.16337335826445298,0.1329075980226623,0.07262026685683534,27,7.593729305267334,2.709691157012866,0.1095550537109375,0.006114100288681616,mse,5,260,1,90,100,"OrderedDict([('criterion', 'mse'), ('max_depth', 5), ('max_features', 260), ('min_samples_leaf', 1), ('min_samples_split', 90), ('n_estimators', 100)])"
12,0.1667104816465722,0.22400629502672853,0.05523986611399978,0.21962663217026923,0.12782572809680315,0.15868637275269448,0.06274921274909022,18,57.85253772735596,20.48965375394235,0.3724705696105957,0.12877910878972615,mse,4,298,40,2,894,"OrderedDict([('criterion', 'mse'), ('max_depth', 4), ('max_features', 298), ('min_samples_leaf', 40), ('min_samples_split', 2), ('n_estimators', 894)])"
13,0.08099614269356381,0.13343122705593358,0.0730718048882274,0.07323436033813968,0.11790818990038576,0.09571995533841537,0.02509427298633835,37,0.4821115493774414,0.10265303067791236,0.14394240379333495,0.04914992242878309,mse,10,1,25,2,176,"OrderedDict([('criterion', 'mse'), ('max_depth', 10), ('max_features', 1), ('min_samples_leaf', 25), ('min_samples_split', 2), ('n_estimators', 176)])"
14,0.024350416185654145,0.03057677676727255,0.025571764159132204,0.0033871331708433816,0.03868229341003793,0.024513583765608013,0.011701264188694264,49,1.123936939239502,0.16803945432141013,0.15253801345825196,0.0807319404180601,mse,1,1,50,100,458,"OrderedDict([('criterion', 'mse'), ('max_depth', 1), ('max_features', 1), ('min_samples_leaf', 50), ('min_samples_split', 100), ('n_estimators', 458)])"
15,0.18487440675657918,0.07375596235465243,-0.027031273327875693,0.28232106737758655,0.15873090000203838,0.13455888244701758,0.10462695682171255,26,166.48815860748292,58.49137193845974,0.371352481842041,0.07698034203378572,mse,11,298,1,28,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 11), ('max_features', 298), ('min_samples_leaf', 1), ('min_samples_split', 28), ('n_estimators', 1000)])"
16,0.15078061792837238,0.13816982648632026,0.039615397111653294,0.12552172309046672,0.18565157692728307,0.12796083103639294,0.048495024016346644,30,55.277936172485354,19.23998826844009,0.31711692810058595,0.1014596170749976,mse,10,298,100,13,973,"OrderedDict([('criterion', 'mse'), ('max_depth', 10), ('max_features', 298), ('min_samples_leaf', 100), ('min_samples_split', 13), ('n_estimators', 973)])"
17,0.1872951432223261,0.15626423848587323,0.00796988982497493,0.2715018985895228,0.19753684467077615,0.1641268042914188,0.08672867453719786,17,65.76369767189026,22.527780671678617,0.2939731597900391,0.10294952962571986,mse,4,298,1,10,975,"OrderedDict([('criterion', 'mse'), ('max_depth', 4), ('max_features', 298), ('min_samples_leaf', 1), ('min_samples_split', 10), ('n_estimators', 975)])"
18,0.0914122785627266,0.10870010498386384,0.05088462942580518,0.07018856017158448,0.11198786638720803,0.08663740862984609,0.023236007586292875,40,2.8305081844329836,0.7083389674046261,0.21209588050842285,0.01028184334577695,mse,1,16,20,89,802,"OrderedDict([('criterion', 'mse'), ('max_depth', 1), ('max_features', 16), ('min_samples_leaf', 20), ('min_samples_split', 89), ('n_estimators', 802)])"
19,0.07582593188979614,0.1284321748210323,0.06579430546946463,0.07200377132796043,0.12383898645012192,0.09316915181507948,0.02713308631357975,39,0.709041166305542,0.16828790598241838,0.10420460700988769,0.0008790642631277599,mse,4,1,16,2,151,"OrderedDict([('criterion', 'mse'), ('max_depth', 4), ('max_features', 1), ('min_samples_leaf', 16), ('min_samples_split', 2), ('n_estimators', 151)])"
20,0.1452778028360433,0.15314500262891972,0.09253539754809592,0.11801308708986269,0.17303147423164156,0.13640560824844403,0.028146845631857834,25,11.26717300415039,3.9763840985942807,0.28943400382995604,0.07124213480525274,mse,10,55,100,49,907,"OrderedDict([('criterion', 'mse'), ('max_depth', 10), ('max_features', 55), ('min_samples_leaf', 100), ('min_samples_split', 49), ('n_estimators', 907)])"
21,0.1296337161980875,0.1536001955482199,0.0922819599212924,0.10587144914983748,0.15793575445178376,0.12786562251463252,0.025759139903984384,31,0.978679609298706,0.27200635689470054,0.13365583419799804,0.03689934971836177,mse,11,20,97,42,171,"OrderedDict([('criterion', 'mse'), ('max_depth', 11), ('max_features', 20), ('min_samples_leaf', 97), ('min_samples_split', 42), ('n_estimators', 171)])"
22,0.15621060813496435,0.16776599466473596,0.08377667325609439,0.13667016143799937,0.18059210189315367,0.1450094902807253,0.033839453603692976,21,11.943465995788575,3.918130619158966,0.24485197067260742,0.052852879663030004,mse,9,87,75,84,634,"OrderedDict([('criterion', 'mse'), ('max_depth', 9), ('max_features', 87), ('min_samples_leaf', 75), ('min_samples_split', 84), ('n_estimators', 634)])"
23,0.14872058494273843,0.15098234758043516,0.0900871910292893,0.12032688372945655,0.1765588369842368,0.1373416525753779,0.029576677801028052,23,9.038173341751099,3.0923147696216104,0.2546236991882324,0.05396442069301788,mse,15,71,100,91,573,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 71), ('min_samples_leaf', 100), ('min_samples_split', 91), ('n_estimators', 573)])"
24,0.18249804840004313,0.1641329953815951,0.05530335486733784,0.26360327156351404,0.21633429576201557,0.17637788047007494,0.06933632302018246,10,20.408673810958863,6.86204249148694,0.30442309379577637,0.08249085446088139,mse,10,44,1,49,841,"OrderedDict([('criterion', 'mse'), ('max_depth', 10), ('max_features', 44), ('min_samples_leaf', 1), ('min_samples_split', 49), ('n_estimators', 841)])"
25,0.1568901365552854,0.13502113105202074,-0.00142618751597956,0.1899673845500488,0.21530760237719193,0.13916211484058794,0.07544599466018342,22,10.145499467849731,3.497438310998486,0.17516069412231444,0.058957312701312055,mse,2,244,1,2,370,"OrderedDict([('criterion', 'mse'), ('max_depth', 2), ('max_features', 244), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 370)])"
26,0.1284572291504792,0.1615600464810698,0.06139922118696384,0.13429988731419018,0.17590033232075952,0.13232114163115935,0.03949284102504846,28,3.582438850402832,0.9965092501925158,0.24391698837280273,0.04999352808282468,mse,2,11,1,47,951,"OrderedDict([('criterion', 'mse'), ('max_depth', 2), ('max_features', 11), ('min_samples_leaf', 1), ('min_samples_split', 47), ('n_estimators', 951)])"
27,0.18461607354839982,0.15791073072037287,0.035663084289531244,0.26581912996977397,0.21317666571666782,0.17144464193818573,0.0767139079639572,12,11.78857684135437,4.2094539186324695,0.11207671165466308,0.007457731897263775,mse,13,58,1,38,335,"OrderedDict([('criterion', 'mse'), ('max_depth', 13), ('max_features', 58), ('min_samples_leaf', 1), ('min_samples_split', 38), ('n_estimators', 335)])"
28,0.18313630199905617,0.19593560050057768,0.06493409495089664,0.26358054811350384,0.24815616034242327,0.19114397840271394,0.06999955068020841,2,1.5281573295593263,0.4760936460322706,0.11261487007141113,0.011918881431215594,mse,8,31,2,32,116,"OrderedDict([('criterion', 'mse'), ('max_depth', 8), ('max_features', 31), ('min_samples_leaf', 2), ('min_samples_split', 32), ('n_estimators', 116)])"
29,0.1768230590756802,0.21093259216697668,0.09536903154697085,0.18688262822469281,0.20299023834679064,0.17460077613031078,0.04136315723873517,11,12.746995973587037,4.383172393215997,0.338026237487793,0.05930835021761291,mse,12,39,42,24,944,"OrderedDict([('criterion', 'mse'), ('max_depth', 12), ('max_features', 39), ('min_samples_leaf', 42), ('min_samples_split', 24), ('n_estimators', 944)])"
30,0.11730589598654251,0.06393211225993001,-0.0040501388962082,0.10419564625958333,0.11024258498311301,0.07834741868115931,0.04516385014838348,42,2.646644449234009,0.8620306867708578,0.1105539321899414,0.015247122667319047,mse,1,180,1,100,224,"OrderedDict([('criterion', 'mse'), ('max_depth', 1), ('max_features', 180), ('min_samples_leaf', 1), ('min_samples_split', 100), ('n_estimators', 224)])"
31,0.13927823753571278,0.19765426861583835,0.06355289050515678,0.18139325749835167,0.16742895515580725,0.1498554949348804,0.04720628680772774,20,1.2704322338104248,0.409049416695944,0.11153230667114258,0.006181822158776286,mse,2,58,37,71,145,"OrderedDict([('criterion', 'mse'), ('max_depth', 2), ('max_features', 58), ('min_samples_leaf', 37), ('min_samples_split', 71), ('n_estimators', 145)])"
32,0.20585913718937088,0.23108105122721012,0.08416421170063504,0.2314385994521848,0.22656399215407286,0.1958271145968842,0.05659713703643438,1,15.5794602394104,5.307627051427668,0.36671128273010256,0.04858893354281328,mse,15,36,25,36,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 36), ('min_samples_leaf', 25), ('min_samples_split', 36), ('n_estimators', 1000)])"
33,0.11414894736561976,-0.08451697205634945,-0.03731028242890977,0.17833780596701543,0.10067694140829087,0.05430138922386371,0.09875536406482603,45,558.2131834506988,181.05402452378456,0.16998577117919922,0.057617699435287315,mae,12,298,1,100,265,"OrderedDict([('criterion', 'mae'), ('max_depth', 12), ('max_features', 298), ('min_samples_leaf', 1), ('min_samples_split', 100), ('n_estimators', 265)])"
34,0.1456554114209806,0.1361354105441035,0.06533658339331139,0.11476778260045539,0.17679382714980107,0.12774800667116049,0.03703294354642466,32,10.256965494155883,3.603850512627898,0.18835573196411132,0.04398308704373423,mse,2,156,100,2,633,"OrderedDict([('criterion', 'mse'), ('max_depth', 2), ('max_features', 156), ('min_samples_leaf', 100), ('min_samples_split', 2), ('n_estimators', 633)])"
35,0.14709546920730643,0.1359019543311284,0.03773438962460551,0.12405121656605678,0.1779495374458424,0.12455935452597441,0.046948999024408834,33,5.618869590759277,1.9284161466328626,0.13335561752319336,0.03140979492795885,mse,10,298,100,81,114,"OrderedDict([('criterion', 'mse'), ('max_depth', 10), ('max_features', 298), ('min_samples_leaf', 100), ('min_samples_split', 81), ('n_estimators', 114)])"
36,-0.023686788236540357,-0.013492142016524822,-0.03999627648172854,-0.07113168925716384,-0.05054341591859579,-0.03976090334216445,0.02024074159228027,50,5.65079174041748,1.7907127640764107,0.2642816543579102,0.08189510625885177,mae,11,1,100,2,961,"OrderedDict([('criterion', 'mae'), ('max_depth', 11), ('max_features', 1), ('min_samples_leaf', 100), ('min_samples_split', 2), ('n_estimators', 961)])"
37,0.14107799709915014,0.12825478459441841,0.005058710956239332,0.18770598303410324,0.1891130181229126,0.13024826954629515,0.06715298432711378,29,19.966949129104613,7.0131928750188255,0.2773141860961914,0.06557797776965942,mse,2,180,1,33,989,"OrderedDict([('criterion', 'mse'), ('max_depth', 2), ('max_features', 180), ('min_samples_leaf', 1), ('min_samples_split', 33), ('n_estimators', 989)])"
38,0.18499888154350375,0.15031532030398476,0.015439639878191191,0.2987792889881453,0.18372345700429038,0.16666176604248406,0.09076917276593295,16,86.44839286804199,30.796158814355564,0.30585494041442873,0.05655772029874425,mse,6,298,1,2,959,"OrderedDict([('criterion', 'mse'), ('max_depth', 6), ('max_features', 298), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 959)])"
39,0.18313873020317484,0.17443846700058407,0.010856878539818204,0.266609145608245,0.20630421819679667,0.16827795558756742,0.0850120566704234,15,54.49474105834961,19.338477975810935,0.28951325416564944,0.08539619206491302,mse,4,298,1,2,885,"OrderedDict([('criterion', 'mse'), ('max_depth', 4), ('max_features', 298), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 885)])"
40,0.11667206663219187,0.042943384685825814,-0.00632792824566808,0.10677325945187222,0.09178847316857541,0.07039621914282689,0.04596239101550261,43,1.6457215309143067,0.5503982404098531,0.10771803855895996,0.006803887172189902,mse,1,298,1,2,100,"OrderedDict([('criterion', 'mse'), ('max_depth', 1), ('max_features', 298), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 100)])"
41,0.19773606854033532,0.2002385751579432,0.06428691572428635,0.26807274109392,0.21881946168426347,0.1898352543285894,0.06764815727684603,3,3.3098223209381104,1.110584486486157,0.10877094268798829,0.011612130567389517,mse,15,24,1,45,235,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 24), ('min_samples_leaf', 1), ('min_samples_split', 45), ('n_estimators', 235)])"
42,0.2020495734581479,0.1828961908457568,0.05215564542831064,0.2771059016529085,0.22776245507021353,0.18840172984013756,0.0750756146755671,4,10.528580284118652,3.6131458513369723,0.17069544792175292,0.056032162590978644,mse,15,31,1,31,532,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 31), ('min_samples_leaf', 1), ('min_samples_split', 31), ('n_estimators', 532)])"
43,0.12229002809694522,0.1136150959822243,0.022808649555332794,0.09779641667169092,0.13567216796792492,0.09845005568468816,0.03975669512228611,35,13.400619173049927,4.65378578722159,0.27944507598876955,0.08618313498950508,mse,1,230,76,2,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 1), ('max_features', 230), ('min_samples_leaf', 76), ('min_samples_split', 2), ('n_estimators', 1000)])"
44,0.19610165222893172,0.16151696963142725,0.037421089550839004,0.2936991493824964,0.20476741912187868,0.17871116509259402,0.08299801868681234,9,46.065148973464964,16.103194228887325,0.2907847881317139,0.0730013258900862,mse,15,73,1,23,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 73), ('min_samples_leaf', 1), ('min_samples_split', 23), ('n_estimators', 1000)])"
45,0.12343346236116581,0.09674839197651441,0.01748974360659228,0.09032980683467207,0.14936677744715,0.09548955889733506,0.044254808204786,38,14.344754934310913,4.869213117160055,0.2656818389892578,0.0755035322605367,mse,1,252,100,100,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 1), ('max_features', 252), ('min_samples_leaf', 100), ('min_samples_split', 100), ('n_estimators', 1000)])"
46,0.1981069117668317,0.17130290380609003,0.043072527785789405,0.28104383527778676,0.21336873433554326,0.18138850874997342,0.07803832377838896,7,28.85878629684448,10.021981354270597,0.3163596153259277,0.058024155485595426,mse,15,45,1,31,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 45), ('min_samples_leaf', 1), ('min_samples_split', 31), ('n_estimators', 1000)])"
47,0.1906731762568853,0.21566697555895153,0.08718815354099385,0.21136918221218892,0.20560253907207748,0.18210488754401022,0.04818951630741248,6,16.83363285064697,5.486368509717408,0.32463822364807127,0.06688033272957983,mse,15,52,34,47,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 52), ('min_samples_leaf', 34), ('min_samples_split', 47), ('n_estimators', 1000)])"
48,0.18725311528151478,0.17412147737882222,0.03408499959564326,0.31843447876881315,0.19936396309005133,0.18265422727197725,0.09039805719264489,5,60.3408926486969,21.137761366919616,0.3602169036865234,0.0758772048618696,mse,11,111,1,2,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 11), ('max_features', 111), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 1000)])"
49,0.15739753101528553,0.14154936943418928,0.03568381191903969,0.30974755941018617,0.20052333095818842,0.16897372442577638,0.08881763539970838,14,8.287313508987427,2.918808059898498,0.1040201187133789,0.0012953598280832288,mse,15,120,1,2,100,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 120), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 100)])"
